"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"46 years"	"46"	721	4331582	16.6
	"2001"	"2001"	"47 years"	"47"	643	4152347	15.5
	"2001"	"2001"	"48 years"	"48"	594	4018921	14.8
	"2001"	"2001"	"49 years"	"49"	500	3894178	12.8
	"2001"	"2001"	"50 years"	"50"	510	3796146	13.4
	"2001"	"2001"	"51 years"	"51"	410	3796980	10.8
	"2001"	"2001"	"52 years"	"52"	361	3654405	9.9
	"2001"	"2001"	"53 years"	"53"	320	3631014	8.8
	"2001"	"2001"	"54 years"	"54"	278	3808740	7.3
	"2001"	"2001"	"55 years"	"55"	212	2851092	7.4
	"2001"	"2001"	"56 years"	"56"	152	2846838	5.3
	"2001"	"2001"	"57 years"	"57"	150	2805407	5.3
	"2001"	"2001"	"58 years"	"58"	163	2900132	5.6
	"2001"	"2001"	"59 years"	"59"	115	2565506	4.5
	"2001"	"2001"	"60 years"	"60"	86	2380300	3.6
	"2001"	"2001"	"61 years"	"61"	77	2323707	3.3
	"2001"	"2001"	"62 years"	"62"	89	2213270	4.0
	"2001"	"2001"	"63 years"	"63"	61	2172024	2.8
	"2001"	"2001"	"64 years"	"64"	80	2047019	3.9
	"2001"	"2001"	"65 years"	"65"	58	2012270	2.9
	"2001"	"2001"	"66 years"	"66"	52	2013441	2.6
	"2001"	"2001"	"67 years"	"67"	57	1850485	3.1
	"2001"	"2001"	"68 years"	"68"	40	1852792	2.2
	"2001"	"2001"	"69 years"	"69"	42	1833245	2.3
	"2001"	"2001"	"70 years"	"70"	43	1817859	2.4
	"2001"	"2001"	"71 years"	"71"	49	1844676	2.7
	"2001"	"2001"	"72 years"	"72"	30	1743767	1.7
	"2001"	"2001"	"73 years"	"73"	37	1733630	2.1
	"2001"	"2001"	"74 years"	"74"	32	1682014	1.9
	"2001"	"2001"	"75 years"	"75"	35	1610892	2.2
	"2001"	"2001"	"76 years"	"76"	44	1589103	2.8
	"2001"	"2001"	"77 years"	"77"	44	1503097	2.9
	"2001"	"2001"	"78 years"	"78"	37	1405933	2.6
	"2001"	"2001"	"79 years"	"79"	24	1346388	1.8
	"2001"	"2001"	"80 years"	"80"	37	1254832	2.9
	"2001"	"2001"	"81 years"	"81"	29	1154138	2.5
	"2001"	"2001"	"82 years"	"82"	23	993071	2.3
	"2001"	"2001"	"83 years"	"83"	19	927192	Unreliable
	"2001"	"2001"	"84 years"	"84"	19	808972	Unreliable
	"2001"	"2001"	"85 years"	"85"	23	Not Applicable	Not Applicable
	"2001"	"2001"	"86 years"	"86"	18	Not Applicable	Not Applicable
	"2001"	"2001"	"87 years"	"87"	16	Not Applicable	Not Applicable
	"2001"	"2001"	"88 years"	"88"	16	Not Applicable	Not Applicable
	"2001"	"2001"	"89 years"	"89"	15	Not Applicable	Not Applicable
	"2001"	"2001"	"90 years"	"90"	14	Not Applicable	Not Applicable
	"2001"	"2001"	"91 years"	"91"	19	Not Applicable	Not Applicable
	"2001"	"2001"	"92 years"	"92"	15	Not Applicable	Not Applicable
	"2001"	"2001"	"93 years"	"93"	4	Not Applicable	Not Applicable
	"2001"	"2001"	"94 years"	"94"	4	Not Applicable	Not Applicable
	"2001"	"2001"	"95 years"	"95"	4	Not Applicable	Not Applicable
	"2001"	"2001"	"97 years"	"97"	3	Not Applicable	Not Applicable
	"2001"	"2001"	"98 years"	"98"	2	Not Applicable	Not Applicable
	"2001"	"2001"	"99 years"	"99"	4	Not Applicable	Not Applicable
	"2001"	"2001"	"100+ years"	"100"	2	Not Applicable	Not Applicable
	"2001"	"2001"	"Not Stated"	"NS"	15	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			19394	284968955	6.8
	"2002"	"2002"	"< 1 year"	"0"	27	3951461	0.7
	"2002"	"2002"	"1 year"	"1"	11	4004674	Unreliable
	"2002"	"2002"	"2 years"	"2"	4	3856114	Unreliable
	"2002"	"2002"	"3 years"	"3"	6	3804336	Unreliable
	"2002"	"2002"	"4 years"	"4"	9	3812607	Unreliable
	"2002"	"2002"	"5 years"	"5"	2	3837187	Unreliable
	"2002"	"2002"	"7 years"	"7"	1	3982360	Unreliable
	"2002"	"2002"	"8 years"	"8"	2	4020970	Unreliable
	"2002"	"2002"	"9 years"	"9"	2	4118846	Unreliable
	"2002"	"2002"	"10 years"	"10"	4	4243816	Unreliable
	"2002"	"2002"	"11 years"	"11"	2	4295720	Unreliable
	"2002"	"2002"	"12 years"	"12"	5	4380351	Unreliable
	"2002"	"2002"	"13 years"	"13"	4	4209025	Unreliable
	"2002"	"2002"	"14 years"	"14"	18	4132509	Unreliable
	"2002"	"2002"	"15 years"	"15"	29	4097876	0.7
	"2002"	"2002"	"16 years"	"16"	56	4126961	1.4
	"2002"	"2002"	"17 years"	"17"	95	4148590	2.3
